13.611,0.63669,0.83177,0.19508,0.16823,1.0365,0.69119,1.8242,0.4413
14.659,0.59132,0.79291,0.20159,0.20709,1.0822,0.70876,1.8161,0.43878
15.04,0.55893,0.75968,0.20075,0.24032,1.1048,0.74248,1.8443,0.4461
15.297,0.52442,0.72313,0.19871,0.27687,1.1551,0.74197,1.9191,0.47755
15.711,0.46951,0.63591,0.1664,0.36409,1.0181e+07,0.76034,2.1148,0.53011
15.841,0.64581,0.77181,0.126,0.22819,0.98534,0.71307,2.3206,0.49763
13.853,0.76799,0.9141,0.14611,0.085898,0.98672,0.66369,2.364,0.46984
10.642,0.80874,0.95723,0.14849,0.042768,1.0006,0.67601,2.2997,0.52554
8.2053,0.81231,0.96592,0.15362,0.034076,0.95513,0.69591,2.2861,0.55542
7.4546,0.80832,0.96429,0.15597,0.035711,0.91234,0.70078,2.2717,0.55203
7.3193,0.81062,0.95907,0.14845,0.040926,0.88054,0.702,2.2569,0.54738
7.1174,0.81349,0.95483,0.14134,0.04517,0.87686,0.70317,2.2663,0.52919
7.0971,0.81538,0.95053,0.13515,0.04947,0.83416,0.70024,2.2781,0.54236
7.2128,0.80675,0.94362,0.13688,0.056378,0.83014,0.70394,2.3089,0.52485
7.1644,0.8004,0.93758,0.13718,0.062425,0.7905,0.69361,2.3495,0.51303
7.3029,0.80153,0.93716,0.13564,0.062836,0.76866,0.68776,2.3232,0.52611
7.9703,0.80768,0.9434,0.13572,0.0566,0.74356,0.67019,2.2938,0.54271
7.9475,0.8141,0.95522,0.14112,0.044781,0.75945,0.65644,2.1637,0.60523
8.1014,0.81293,0.95938,0.14645,0.04062,0.77,0.65505,2.0244,0.63931
9.1911,0.79775,0.9529,0.15515,0.0471,0.8154,0.65573,1.9288,0.5783
10.63,0.764,0.93292,0.16892,0.067078,0.89079,0.65207,1.8788,0.52861
11.033,0.74079,0.91275,0.17197,0.087246,0.95438,0.65317,1.8663,0.49041
11.353,0.71925,0.89474,0.17549,0.10526,0.997,0.64859,1.856,0.48284
12.096,0.68483,0.86851,0.18367,0.13149,1.0161,0.66811,1.8357,0.46047
